Date Created,Tweet
2022-12-08 05:06:58+00:00,"Akses UMKM ke Perbankan Baru 20%, Ternyata Ini Alasannya!

Watchlist : BBRI, BMRI, BBTN, BBKP, BBCA, MEGA, ARTO, BTPN, BJBR, BJTM, AGRO

Source : https://t.co/YeELdt2GIu"
2022-12-08 04:06:14+00:00,Mohon berhati-hati dan tidak memberikan data rahasia kepada pihak manapun yang mengatasnamakan Bank Mandiri.(11) https://t.co/kjKMVJE1BQ #mandiri_itu_keren #bmristory #bmri #bankmandiri https://t.co/jz4UgzhIoq
2022-12-08 02:20:51+00:00,"$BMRI
» Sedang menguji support 9900-10000
» Juga bisa dipantau bagi yang lagi incer BMRI https://t.co/bLxkoN2iUR"
2022-10-26 11:22:50+00:00,"Selain tahun nya group Adaro dan Bakrie, ternyata tahun ini saham saham BUMN juga lumayan moncer kenaikan harganya

 beli saham BMRI kenaikannya udah 10x lipat dibandingkan kalau dananya didepositokan di bank Mandirinya

Saham BUMN mana incaran kamu ??

https://t.co/iMEFbJUpos"
2022-10-22 05:42:11+00:00,Buka porto kaget anjir bmri tau tau 11% aja
2022-10-16 16:01:12+00:00,"Tiap liat innova venturer ih naksir bgt, gagahh pengen.. tp ya apa duitnya buat serok bbca/bmri dulu ya persiapan 2023."
2022-10-09 02:30:47+00:00,"CFD bersama Alumni BMRI..... @ Jakarta, Indonesia https://t.co/Y4xALJ2ufy"
2022-10-08 18:17:27+00:00,"@513725ANP Masih Setia pada ELSA, HRUM, INCO, BMRI 🤣🤣🤣"
2022-09-27 09:38:39+00:00,@KokoGiovanni Tumben BMRI ngasih FD. Biasanya HDD😁
2022-09-20 03:41:41+00:00,"PT Bursa Efek Indonesia mencatat PT @bankmandiri (Persero) Tbk. (BMRI) menjadi yang paling menyedot perhatian di antara 54 emiten yang melakukan paparan publik dalam acara Public Expose LIVE 2022
https://t.co/yajCCUgtfI"
2022-09-13 06:19:09+00:00,"@rgoestama Bisa bang, arain 3 kali $BBNI dah nutup itu.. Masa kalah sama $BMRI."
2022-09-12 16:19:36+00:00,Hmmm bmri terpantau alon alon asal klakon ya memang sepertinya pas untuk tabungan hari tua
2022-09-08 02:29:15+00:00,BMRI terus melesat ya hadehh jadi nyesel pas bulan 7 duit nganggur malah bener bener dianggurin
2022-08-06 16:08:51+00:00,"Dua perusahaan pembiayaan (multifinance/leasing) anak usaha PT Bank Mandiri (Persero) Tbk. (BMRI) tampak telah kembali dalam jalur menjadi penyumbang cuan signifikan bagi induk usaha.
https://t.co/bZBaTu2svF https://t.co/InQsiw1pk2"
2022-07-20 07:22:41+00:00,"Bang $BMRI lu harganya naik,
Gimana dong?
Ya senang lah,

BMRI Turun aja , gw tetap senang kok.hahaha"
2022-06-14 11:34:40+00:00,@IDX_BEI Ya mending 100milyar di kasih sekali lalu di belikan BBCA BBRI Hexa BMRI TOWR Dmas... Unvr ULTJ Sido  hidup dari deviden nikmat kayanya... dan kembali kerutinitas kerjaan...
2022-06-09 11:31:08+00:00,"@Saham_fess GGRM, BBNI, BMRI"
2022-06-04 02:26:23+00:00,"Ini contoh yaa.. 
Valuasi $BNGA menarik (buat aku) krn PBV-nya rendah (0.59) dari kelas yg aku ambil, sebaiknya carilah emiten dengan pbv d bawah 0.5 nah ini bank, jd buat aku okelah gapapa. Deviden yield-nya paling besar $BNGA tapii, net profit marginnya gedean $BMRI https://t.co/7f8uegml04"
2022-06-01 05:49:22+00:00,"@isalisalan @Saham_fess Yesss, yg ngebedain BMRI kasih cashflow dividen jumbo tiap tahun 👍"
2022-06-01 04:31:33+00:00,"I did this, twice. Waktu ada promo drive thru BMRI

Ya jalan aja, pesen, bayar. https://t.co/hped9L0Ygy"
2022-05-31 09:12:02+00:00,"Yakin banget gw waktu itu,
Ternyata bener $BMRI lagi diskon,
Karena ujian sesungguhnya dia di 9.000 https://t.co/nwwFvuqhZA"
2022-05-20 07:56:49+00:00,@ShopeePay_ID Punya 2M ya beli saham BBCA BBRI BMRI biar dari hasil devidennya bisa bayar checkout
2022-05-18 07:08:45+00:00,@nuvnop @worksfess Balik ke BMRI nih kek nya 😅
2022-04-28 02:04:24+00:00,BMRI tancap gas pagi2
2022-04-26 11:00:28+00:00,Boleh lho yang mau kirim THR tapi berupa 1 lot saham BBCA or BMRI diterima dengan tangan terbuka lho .. kecil kok cm 1 lot aja gpp 🤭😉🤭
2022-04-06 04:27:57+00:00,BMRI GGWP https://t.co/JMplidOZju
2022-04-06 03:34:47+00:00,Dividen BMRI cair
