"","BBNI.JK","BBRI.JK","BBTN.JK","BMRI.JK"
"2021-09-14",5302.166992,3558.921143,1396.540527,5822.413086
"2021-09-15",5253.072754,3520.446289,1376.801514,5846.275391
"2021-09-16",5179.431641,3501.20874,1376.801514,5870.137695
"2021-09-17",5203.978516,3472.352783,1376.801514,5774.688477
"2021-09-20",5056.696289,3453.115234,1337.323242,5750.826172
"2021-09-21",5032.148926,3433.87793,1327.453735,5703.101074
"2021-09-22",5056.696289,3472.352783,1342.258057,5798.550781
"2021-09-23",5032.148926,3626.251953,1357.062378,5798.550781
"2021-09-24",5007.602051,3674.345459,1347.192871,5703.101074
"2021-09-27",4983.055176,3607.014648,1342.258057,5631.51416
"2021-09-28",4958.507813,3578.158447,1332.38855,5679.23877
"2021-09-29",5130.337402,3597.395752,1376.801514,5726.963867
"2021-09-30",5277.619629,3703.20166,1401.475342,5870.137695
"2021-10-01",5253.072754,3751.295166,1465.627319,5822.413086
"2021-10-04",5596.731445,3818.625977,1510.040283,6180.348145
"2021-10-05",5596.731445,3780.151367,1505.105591,6132.623535
"2021-10-06",5891.296387,3962.906738,1564.322754,6299.660156
"2021-10-07",5866.749512,3962.906738,1544.58374,6395.109375
"2021-10-08",6038.579102,4001.381592,1564.322754,6586.008301
"2021-10-11",6284.049805,4020.618896,1569.257568,6586.008301
"2021-10-12",6284.049805,4059.09375,1593.931396,6681.45752
"2021-10-13",6554.067383,4116.806152,1653.148682,6776.906738
"2021-10-14",6750.443848,4087.949951,1682.757324,6848.494141
"2021-10-15",6627.708496,4155.280762,1687.692139,6824.631836
"2021-10-18",6946.820313,4241.849121,1815.996216,6848.494141
"2021-10-19",7094.103027,4232.230469,1786.387573,6872.356445
"2021-10-21",7192.291016,4193.755371,1771.583252,6848.494141
"2021-10-22",7315.026367,4232.230469,1796.25708,6872.356445
"2021-10-25",7216.838379,4136.043457,1781.452759,6800.769531
"2021-10-26",7143.196777,4184.136719,1756.778931,6848.494141
"2021-10-27",6946.820313,4126.424805,1717.300781,6824.631836
"2021-10-28",6922.273438,4078.331055,1722.235474,6705.319824
"2021-10-29",6873.179199,4087.949951,1756.778931,6848.494141
"2021-11-01",6725.896973,4068.712402,1766.648438,6848.494141
"2021-11-02",6676.802734,4049.475098,1697.561646,6705.319824
"2021-11-03",6897.726563,4126.424805,1741.974609,6800.769531
"2021-11-04",6873.179199,4087.949951,1741.974609,6848.494141
"2021-11-05",6824.084961,4078.331055,1737.039795,6776.906738
"2021-11-08",6922.273438,4068.712402,1771.583252,6681.45752
"2021-11-09",6922.273438,4087.949951,1746.909424,6562.145996
"2021-11-10",6946.820313,4087.949951,1751.844116,6824.631836
"2021-11-11",6897.726563,4087.949951,1766.648438,6896.21875
"2021-11-12",6774.991211,4059.09375,1766.648438,6776.906738
"2021-11-15",6676.802734,4001.381592,1727.170288,6729.182129
"2021-11-16",6750.443848,3972.525391,1727.170288,6896.21875
"2021-11-17",6873.179199,4039.856201,1741.974609,6896.21875
"2021-11-18",6799.538086,4020.618896,1751.844116,6848.494141
"2021-11-19",6897.726563,4116.806152,1771.583252,6920.081055
"2021-11-22",7045.008789,4116.806152,1835.735229,7015.530273
"2021-11-23",6873.179199,4049.475098,1791.322388,6824.631836
"2021-11-24",6946.820313,4049.475098,1791.322388,6824.631836
"2021-11-25",7045.008789,4059.09375,1796.25708,7015.530273
"2021-11-26",6750.443848,4001.381592,1766.648438,6776.906738
"2021-11-29",6824.084961,4011.000244,1727.170288,6848.494141
"2021-11-30",6676.802734,3934.050537,1687.692139,6681.45752
"2021-12-01",6529.520508,3924.431885,1663.018188,6753.044434
"2021-12-02",6701.349609,4039.856201,1687.692139,6872.356445
"2021-12-03",6603.161621,4011.000244,1712.365967,6824.631836
"2021-12-06",6725.896973,3953.288086,1727.170288,6848.494141
"2021-12-07",6922.273438,4068.712402,1727.170288,6967.805664
"2021-12-08",6725.896973,4049.475098,1727.170288,6824.631836
"2021-12-09",6701.349609,4030.237549,1727.170288,7015.530273
"2021-12-10",6652.255859,3972.525391,1727.170288,6872.356445
"2021-12-13",6725.896973,4001.381592,1741.974609,6800.769531
"2021-12-14",6750.443848,3972.525391,1727.170288,6848.494141
"2021-12-15",6750.443848,4039.856201,1737.039795,6943.943359
"2021-12-16",6627.708496,3982.144043,1702.49646,6920.081055
"2021-12-17",6627.708496,3953.288086,1702.49646,6824.631836
"2021-12-20",6603.161621,3962.906738,1697.561646,6753.044434
"2021-12-21",6578.614258,3924.431885,1697.561646,6824.631836
"2021-12-22",6504.973145,3895.575684,1697.561646,6729.182129
"2021-12-23",6529.520508,3943.669189,1702.49646,6753.044434
"2021-12-24",6603.161621,3914.813232,1687.692139,6729.182129
"2021-12-27",6627.708496,3905.194336,1687.692139,6681.45752
"2021-12-28",6578.614258,3934.050537,1732.105103,6729.182129
"2021-12-29",6603.161621,3924.431885,1727.170288,6776.906738
"2021-12-30",6627.708496,3953.288086,1707.431152,6705.319824
"2022-01-03",6603.161621,4020.618896,1776.518066,6729.182129
"2022-01-04",6897.726563,4001.381592,1766.648438,6848.494141
"2022-01-05",6824.084961,4049.475098,1707.431152,6705.319824
"2022-01-06",6824.084961,4001.381592,1677.82251,6705.319824
"2022-01-07",6946.820313,4030.237549,1697.561646,6729.182129
"2022-01-10",6922.273438,4020.618896,1687.692139,6729.182129
"2022-01-11",6897.726563,3991.762695,1677.82251,6729.182129
"2022-01-12",6922.273438,4001.381592,1682.757324,6824.631836
"2022-01-13",6897.726563,4030.237549,1677.82251,6800.769531
"2022-01-14",6971.367676,4020.618896,1697.561646,6848.494141
"2022-01-17",7069.555664,4049.475098,1677.82251,6872.356445
"2022-01-18",6946.820313,4030.237549,1677.82251,6920.081055
"2022-01-19",6971.367676,3972.525391,1658.083496,6705.319824
"2022-01-20",7020.461426,3972.525391,1658.083496,6848.494141
"2022-01-21",7045.008789,4011.000244,1648.213989,6967.805664
"2022-01-24",6971.367676,3962.906738,1638.34436,6943.943359
"2022-01-25",6676.802734,3914.813232,1544.58374,6896.21875
"2022-01-26",6995.914551,3934.050537,1574.192383,7134.842285
"2022-01-27",7069.555664,3982.144043,1534.714111,7206.429199
"2022-01-28",7364.120605,3982.144043,1712.365967,7301.878418
"2022-01-31",7192.291016,3914.813232,1667.953003,7134.842285
"2022-02-02",7241.385254,3914.813232,1648.213989,7134.842285
"2022-02-03",7167.744141,3972.525391,1638.34436,7134.842285
"2022-02-04",7192.291016,4049.475098,1682.757324,7134.842285
"2022-02-07",7241.385254,4232.230469,1732.105103,7158.70459
"2022-02-08",7364.120605,4270.705078,1727.170288,7278.016113
"2022-02-09",7437.761719,4280.32373,1751.844116,7325.741211
"2022-02-10",7535.950195,4299.561523,1746.909424,7373.46582
"2022-02-11",7560.49707,4280.32373,1746.909424,7373.46582
"2022-02-14",7560.49707,4241.849121,1746.909424,7445.052734
"2022-02-15",7781.420898,4261.086426,1791.322388,7540.501953
"2022-02-16",7805.967773,4251.467773,1781.452759,7492.777344
"2022-02-17",7756.873535,4232.230469,1776.518066,7492.777344
"2022-02-18",7830.515137,4261.086426,1771.583252,7492.777344
"2022-02-21",7756.873535,4318.798828,1781.452759,7492.777344
"2022-02-22",7609.591309,4261.086426,1727.170288,7516.639648
"2022-02-23",7781.420898,4309.180176,1741.974609,7516.639648
"2022-02-24",7683.232422,4222.611816,1717.300781,7349.603516
"2022-02-25",7855.062012,4376.51123,1751.844116,7349.603516
"2022-03-01",7781.420898,4453.460449,1717.300781,7301.878418
"2022-03-02",7634.138184,4386.129883,1692.626831,7278.016113
"2022-03-04",7756.873535,4491.935547,1663.018188,7301.878418
"2022-03-07",7585.044434,4347.654785,1633.409668,7206.429199
"2022-03-08",7462.309082,4261.086426,1633.409668,7206.429199
"2022-03-09",7634.138184,4395.748535,1677.82251,7278.016113
"2022-03-10",7634.138184,4395.748535,1682.757324,7325.741211
"2022-03-11",7805.967773,4400,1697.561646,7301.878418
"2022-03-14",7953.250488,4520,1690,7397.328125
"2022-03-15",7928.703125,4610,1710,7421.19043
"2022-03-16",8198.720703,4650,1750,7588.227051
"2022-03-17",8075.98584,4650,1740,7588.227051
"2022-03-18",8149.626953,4580,1735,7564.364258
"2022-03-21",7928.703125,4590,1700,7650
"2022-03-22",7879.608887,4640,1705,7675
"2022-03-23",7928.703125,4650,1690,7775
"2022-03-24",8225,4730,1750,7925
"2022-03-25",8225,4710,1735,7850
"2022-03-28",8500,4730,1750,7875
"2022-03-29",8375,4690,1755,7925
"2022-03-30",8400,4710,1725,7875
"2022-03-31",8250,4660,1715,7900
"2022-04-01",8200,4730,1705,7875
"2022-04-04",8425,4700,1715,7825
"2022-04-05",8375,4700,1705,7825
"2022-04-06",8150,4600,1685,7675
"2022-04-07",8300,4630,1655,7700
"2022-04-08",8425,4610,1645,7700
"2022-04-11",8400,4570,1620,7675
"2022-04-12",8425,4610,1630,7700
"2022-04-13",8450,4610,1635,7725
"2022-04-14",8400,4540,1620,7675
"2022-04-18",8425,4550,1610,7625
"2022-04-19",8400,4570,1630,7575
"2022-04-20",8975,4850,1665,7850
"2022-04-21",9375,4800,1760,8300
"2022-04-22",9350,4750,1775,8275
"2022-04-25",9500,4840,1865,8225
"2022-04-26",9600,4940,1835,8350
"2022-04-27",9450,4850,1835,8225
"2022-04-28",9225,4870,1845,8950
"2022-05-09",8825,4530,1720,8325
"2022-05-10",8900,4530,1700,8100
"2022-05-11",8775,4490,1680,8000
"2022-05-12",8200,4320,1630,7875
"2022-05-13",8250,4250,1645,7800
"2022-05-17",8450,4450,1665,7850
"2022-05-18",8750,4450,1675,7900
"2022-05-19",8675,4440,1665,7900
"2022-05-20",8775,4430,1660,8000
"2022-05-23",8850,4330,1655,7875
"2022-05-24",9075,4460,1680,7925
"2022-05-25",8925,4350,1675,7850
"2022-05-27",9200,4540,1680,8100
"2022-05-30",9200,4430,1675,8200
"2022-05-31",9175,4630,1700,8500
"2022-06-02",8850,4480,1675,8200
"2022-06-03",8950,4520,1675,8200
"2022-06-06",8900,4430,1685,8150
"2022-06-07",8900,4400,1670,8300
"2022-06-08",9000,4470,1625,8400
"2022-06-09",8675,4490,1625,8425
"2022-06-10",8300,4400,1560,8175
"2022-06-13",8250,4340,1470,8100
"2022-06-14",8275,4360,1490,8200
"2022-06-15",8275,4450,1490,8300
"2022-06-16",8250,4430,1500,8375
"2022-06-17",8175,4370,1480,8075
"2022-06-20",8125,4400,1465,8250
"2022-06-21",8450,4380,1485,8250
"2022-06-22",8150,4320,1490,8150
"2022-06-23",8150,4310,1480,8150
"2022-06-24",8150,4340,1485,8300
"2022-06-27",8050,4280,1500,8225
"2022-06-28",8075,4300,1500,8125
"2022-06-29",8025,4180,1475,7950
"2022-06-30",7850,4150,1455,7925
"2022-07-01",7850,4140,1420,7600
"2022-07-04",7650,4040,1400,7400
"2022-07-05",7750,4090,1400,7650
"2022-07-06",7650,4080,1400,7525
"2022-07-07",7600,4050,1395,7425
"2022-07-08",7600,4200,1395,7475
"2022-07-11",7500,4120,1390,7475
"2022-07-12",7450,4110,1430,7425
"2022-07-13",7225,4060,1410,7275
"2022-07-14",7275,4070,1390,7275
"2022-07-15",7275,4110,1395,7175
"2022-07-18",7325,4140,1405,7350
"2022-07-19",7300,4110,1435,7425
"2022-07-20",7675,4300,1465,7900
"2022-07-21",7725,4310,1470,7900
"2022-07-22",7700,4270,1465,7850
"2022-07-25",7600,4250,1460,7775
"2022-07-26",7675,4330,1455,8000
"2022-07-27",7775,4320,1460,8100
"2022-07-28",7825,4360,1465,8050
"2022-07-29",7850,4360,1470,8275
"2022-08-01",7950,4360,1485,7975
"2022-08-02",8075,4400,1480,8175
"2022-08-03",8125,4380,1490,8250
"2022-08-04",8000,4360,1480,8250
"2022-08-05",8250,4360,1505,8250
"2022-08-08",8250,4370,1540,8350
"2022-08-09",8450,4410,1550,8475
"2022-08-10",8475,4310,1530,8600
"2022-08-11",8525,4350,1575,8525
"2022-08-12",8525,4320,1625,8475
"2022-08-15",8550,4300,1585,8450
"2022-08-16",8575,4280,1565,8525
"2022-08-18",8650,4330,1545,8600
"2022-08-19",8500,4300,1515,8500
"2022-08-22",8300,4270,1500,8525
"2022-08-23",8300,4300,1520,8625
"2022-08-24",8300,4290,1510,8625
"2022-08-25",8275,4270,1520,8575
"2022-08-26",8300,4270,1520,8500
"2022-08-29",8200,4250,1510,8550
"2022-08-30",8425,4260,1510,8650
"2022-08-31",8525,4340,1505,8850
"2022-09-01",8525,4390,1545,8925
"2022-09-02",8700,4450,1545,8850
"2022-09-05",8850,4590,1570,8950
"2022-09-06",8750,4560,1555,8825
"2022-09-07",8575,4460,1540,8875
"2022-09-08",8775,4600,1580,8950
"2022-09-09",8800,4610,1570,9075
"2022-09-12",8800,4560,1535,9175
"2022-09-13",8975,4580,1540,9450
"2022-09-14",8900,4580,1535,9300
"2022-09-15",9175,4610,1605,9350
"2022-09-16",8950,4500,1575,9100
"2022-09-19",8975,4570,1575,9225
"2022-09-20",8975,4490,1575,9200
"2022-09-21",8975,4550,1560,9275
"2022-09-22",9000,4560,1565,9200
"2022-09-23",9000,4480,1560,9200
"2022-09-26",9000,4540,1550,9250
"2022-09-27",9000,4530,1515,9350
"2022-09-28",9000,4520,1505,9300
"2022-09-29",8975,4480,1465,9250
"2022-09-30",8975,4490,1485,9425
"2022-10-03",8900,4530,1480,9275
"2022-10-04",8850,4640,1500,9225
"2022-10-05",8850,4540,1475,9275
"2022-10-06",8900,4510,1450,9325
"2022-10-07",8775,4440,1495,9425
"2022-10-10",8750,4370,1495,9300
"2022-10-11",8700,4430,1485,9300
"2022-10-12",8650,4400,1465,9425
"2022-10-13",8750,4350,1470,9475
"2022-10-14",8425,4270,1470,9400
"2022-10-17",8575,4300,1480,9450
"2022-10-18",8675,4290,1475,9500
"2022-10-19",8775,4300,1460,9475
"2022-10-20",9000,4390,1535,9900
"2022-10-21",9000,4430,1500,10350
"2022-10-24",9350,4500,1535,10250
"2022-10-25",9425,4590,1525,10225
"2022-10-26",9225,4530,1535,10200
"2022-10-27",9350,4600,1550,10200
"2022-10-28",9325,4630,1540,10200
"2022-10-31",9400,4650,1545,10550
"2022-11-01",9400,4660,1545,10400
"2022-11-02",9250,4610,1535,10075
"2022-11-03",9300,4650,1525,10175
"2022-11-04",9275,4650,1535,10150
"2022-11-07",9275,4690,1535,10250
"2022-11-08",9250,4620,1525,10150
"2022-11-09",9300,4650,1525,10150
"2022-11-10",9275,4530,1525,10100
"2022-11-11",9300,4650,1535,10425
"2022-11-14",9100,4580,1535,10250
"2022-11-15",9125,4580,1525,10250
"2022-11-16",9100,4520,1515,10000
"2022-11-17",9275,4670,1510,9900
"2022-11-18",9200,4610,1515,10175
"2022-11-21",9175,4590,1510,10100
"2022-11-22",9250,4590,1520,10125
"2022-11-23",9250,4670,1510,10200
"2022-11-24",9275,4720,1520,10225
"2022-11-25",9300,4750,1525,10175
"2022-11-28",9275,4820,1530,10125
"2022-11-29",9375,4850,1525,10325
"2022-11-30",9900,4980,1535,10525
"2022-12-01",9700,4940,1540,10400
"2022-12-02",9750,4890,1515,10525
"2022-12-05",9750,4890,1455,10875
"2022-12-06",9550,4860,1415,10900
"2022-12-07",9500,4760,1395,10375
"2022-12-08",9500,4840,1400,10050
